// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	3838716													-0.235372	-0.175506	0.108924	0.195766	-0.948512	-0.249001	-0.000323	-0.253976	0.967210	-0.980651	-0.189266	-0.050026
1	3838883													9.643921	0.001941	1.947157	0.196053	-0.948158	-0.250119	-0.000037	-0.255076	0.966921	-0.980593	-0.189558	-0.050044
2	3839049													9.650367	0.014001	1.961818	0.196494	-0.947909	-0.250718	0.000062	-0.255691	0.966759	-0.980505	-0.189978	-0.050183
3	3839216													9.664117	0.018850	1.963674	0.197093	-0.947630	-0.251299	0.000314	-0.256266	0.966606	-0.980385	-0.190590	-0.050211
4	3839383													9.650803	0.021554	1.990767	0.197615	-0.947482	-0.251449	0.000566	-0.256397	0.966571	-0.980279	-0.191152	-0.050132
5	3839549													9.614751	-0.004843	1.987520	0.198230	-0.947346	-0.251476	0.000817	-0.256408	0.966568	-0.980155	-0.191808	-0.050053
6	3839716													9.610739	-0.013447	2.018801	0.198856	-0.947180	-0.251608	0.000907	-0.256557	0.966529	-0.980028	-0.192429	-0.050159
7	3839883													9.628406	-0.008597	2.014617	0.199488	-0.946941	-0.252008	0.000856	-0.257009	0.966409	-0.979900	-0.193002	-0.050459
8	3840049													9.630423	-0.007413	2.019502	0.200058	-0.946851	-0.251894	0.000775	-0.256938	0.966427	-0.979784	-0.193537	-0.050668
9	3840216													9.625846	0.003067	2.007995	0.200548	-0.946630	-0.252335	0.000689	-0.257431	0.966296	-0.979684	-0.193962	-0.050975
10	3840383													9.624276	0.035124	2.020329	0.200974	-0.946511	-0.252443	0.000612	-0.257579	0.966257	-0.979596	-0.194347	-0.051188
11	3840549													9.635651	0.048093	2.023418	0.201342	-0.946353	-0.252739	0.000559	-0.257912	0.966168	-0.979521	-0.194671	-0.051399
12	3840716													9.635647	0.016608	1.984327	0.201628	-0.946269	-0.252825	0.000491	-0.258028	0.966137	-0.979462	-0.194925	-0.051561
13	3840883													9.635851	0.029876	2.016502	0.201818	-0.946235	-0.252801	0.000384	-0.258036	0.966135	-0.979423	-0.195080	-0.051713
14	3841049													9.680893	-0.006997	1.952429	0.201928	-0.946197	-0.252856	0.000179	-0.258139	0.966108	-0.979400	-0.195129	-0.051956
15	3841216													9.606475	-0.050308	1.912338	0.202000	-0.946218	-0.252722	-0.000113	-0.258063	0.966128	-0.979385	-0.195129	-0.052236
16	3841383													9.731012	-0.032514	1.896495	0.201736	-0.946260	-0.252773	-0.000217	-0.258122	0.966112	-0.979440	-0.194845	-0.052278
17	3841549													9.649858	0.072461	1.950277	0.201695	-0.946208	-0.253001	-0.000222	-0.258354	0.966050	-0.979448	-0.194791	-0.052318
