// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	3838716													-0.033967	-0.377980	0.375113	-0.397287	-0.898998	0.184298	-0.006753	0.203686	0.979013	-0.917669	0.387705	-0.086993
1	3838883													8.941549	-0.057703	-3.875160	-0.397051	-0.898979	0.184899	-0.006686	0.204288	0.978888	-0.917772	0.387432	-0.087123
2	3839049													8.960677	-0.043483	-3.859296	-0.397135	-0.898846	0.185365	-0.006484	0.204718	0.978800	-0.917737	0.387514	-0.087129
3	3839216													8.944659	-0.041427	-3.857869	-0.396921	-0.898839	0.185854	-0.006120	0.205074	0.978727	-0.917832	0.387340	-0.086899
4	3839383													8.960573	-0.028735	-3.848006	-0.396582	-0.898942	0.186079	-0.005814	0.205156	0.978712	-0.917981	0.387058	-0.086587
5	3839549													8.988909	-0.023406	-3.847445	-0.396042	-0.899164	0.186157	-0.005540	0.205070	0.978732	-0.918216	0.386588	-0.086198
6	3839716													8.971737	-0.019843	-3.814856	-0.395329	-0.899451	0.186286	-0.005286	0.205032	0.978741	-0.918524	0.385940	-0.085810
7	3839883													8.957311	-0.023922	-3.822534	-0.394501	-0.899803	0.186339	-0.005070	0.204915	0.978767	-0.918881	0.385180	-0.085401
8	3840049													8.978465	-0.029398	-3.783520	-0.393638	-0.900166	0.186414	-0.004885	0.204831	0.978785	-0.919253	0.384376	-0.085027
9	3840216													8.945999	-0.005301	-3.791809	-0.392678	-0.900587	0.186406	-0.004814	0.204696	0.978814	-0.919663	0.383461	-0.084715
10	3840383													8.983957	0.019877	-3.760803	-0.391817	-0.900908	0.186663	-0.004787	0.204879	0.978776	-0.920031	0.382608	-0.084588
11	3840549													8.897682	0.015257	-3.747131	-0.390960	-0.901272	0.186704	-0.004844	0.204861	0.978779	-0.920395	0.381759	-0.084458
12	3840716													8.916725	-0.047891	-3.755932	-0.390382	-0.901523	0.186704	-0.005022	0.204877	0.978775	-0.920639	0.381159	-0.084508
13	3840883													8.830028	-0.056527	-3.735363	-0.389916	-0.901767	0.186501	-0.005469	0.204795	0.978790	-0.920834	0.380625	-0.084785
14	3841049													8.817037	-0.036672	-3.722986	-0.389905	-0.901807	0.186330	-0.005820	0.204753	0.978796	-0.920837	0.380553	-0.085083
15	3841216													8.906199	-0.078253	-3.754423	-0.389993	-0.901793	0.186213	-0.005977	0.204701	0.978806	-0.920798	0.380615	-0.085222
16	3841383													8.953950	-0.126474	-3.781575	-0.390185	-0.901756	0.185989	-0.006130	0.204540	0.978839	-0.920716	0.380788	-0.085336
17	3841549													8.950571	-0.086083	-3.775749	-0.390364	-0.901733	0.185723	-0.006299	0.204339	0.978880	-0.920639	0.380950	-0.085446
18	3841716													9.074430	-0.000829	-3.755467	-0.390436	-0.901757	0.185456	-0.006347	0.204076	0.978934	-0.920608	0.381034	-0.085403
19	3841883													9.097488	0.050425	-3.750093	-0.390120	-0.901895	0.185450	-0.006253	0.203999	0.978951	-0.920743	0.380749	-0.085223
20	3842049													9.032578	0.034438	-3.733099	-0.389591	-0.902085	0.185636	-0.006065	0.204071	0.978937	-0.920968	0.380260	-0.084976
