sampleTimeFine,W4_acc_x,W4_acc_y,W4_acc_z,W4_gyro_x,W4_gyro_y,W4_gyro_z,W4_quat_w,W4_quat_x,W4_quat_y,W4_quat_z,W5_acc_x,W5_acc_y,W5_acc_z,W5_gyro_x,W5_gyro_y,W5_gyro_z,W5_quat_w,W5_quat_x,W5_quat_y,W5_quat_z
1350458,0.154937327,-0.097079925,0.170420423,-0.367202967,0.133381844,-0.307589769,0.701056004,-0.334825814,-0.459276557,-0.430670589,0.108681723,0.265271604,-0.408715278,0.011713996,0.192399517,-0.441809505,0.385988235,-0.58945775,-0.485568404,-0.517470658
1350625,9.167905807,-0.721204698,3.459000111,0.590468764,-0.887800157,0.421655446,0.701433122,-0.334391207,-0.459752649,-0.429885507,9.631602287,0.468940914,-1.612744331,0.004168467,-0.395575345,0.573884487,0.385457486,-0.589916348,-0.48510325,-0.517779946
1350791,9.147764206,-0.700009108,3.44397974,0.486096978,-0.981337667,0.393968105,0.701351702,-0.334436536,-0.460040092,-0.429675817,9.626860619,0.488863975,-1.642004848,-0.167302147,-0.501739919,0.623982906,0.385427445,-0.589969218,-0.484967679,-0.517869115
1350958,9.183952332,-0.686034799,3.455269337,0.470844597,-0.971399963,0.283833534,0.701183558,-0.334430456,-0.460386872,-0.429583371,9.639479637,0.491437256,-1.623905182,-0.723289847,-0.541862249,0.510877311,0.385169715,-0.590093672,-0.484940618,-0.517944515
1351458,9.174355507,-0.690381527,3.450077534,0.420669407,-0.872880816,0.133666277,0.700810909,-0.334242195,-0.461304754,-0.429353416,9.652669907,0.474080473,-1.619169593,-1.022561431,-0.463282555,0.42364049,0.384956896,-0.590138614,-0.484930038,-0.518061459
1351625,9.160605431,-0.6846506,3.462580442,0.102790155,-0.803034902,0.091853529,0.700582802,-0.334362745,-0.461398333,-0.429530948,9.648024559,0.452619046,-1.655947685,-1.169885755,-0.266641021,0.629208028,0.384741396,-0.590297878,-0.484705269,-0.518250227
1351791,9.152674675,-0.713228941,3.442982435,0.003028702,-0.846781433,0.158574626,0.700449049,-0.334413171,-0.46149677,-0.429604053,9.682217598,0.458580643,-1.638999343,-1.182064414,-0.218822092,0.795933843,0.384645939,-0.590470374,-0.484542698,-0.518276691
1351958,9.202346802,-0.733276248,3.478337288,-0.187433735,-0.739822805,0.111498475,0.700361907,-0.334465116,-0.4615677,-0.429629683,9.663902283,0.427248716,-1.632259369,-1.199762821,0.105658785,0.675054669,0.384632856,-0.590572417,-0.48440516,-0.518298507
1352125,9.186239243,-0.722955346,3.466814756,-0.036843866,-0.671782672,-0.026726851,0.700289607,-0.334518552,-0.461605221,-0.429665655,9.600149155,0.40163064,-1.629789352,-0.910826147,0.038899288,0.741109848,0.384657443,-0.590706289,-0.484229565,-0.518292069
1352291,9.173168182,-0.723552585,3.434221029,0.052333146,-0.756176472,0.153452069,0.700190067,-0.334637403,-0.461598605,-0.429742396,9.590024948,0.371613026,-1.669935584,-0.469365478,-0.378709376,0.79749614,0.384806663,-0.590788364,-0.484186471,-0.518127978
