// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	223871													0.000000	0.000000	0.000000	0.207176	-0.897503	-0.389315	0.024475	-0.393070	0.919183	-0.977997	-0.199961	-0.059469
1	224038													9.620943	0.225670	2.033326	0.207357	-0.896873	-0.390669	0.024297	-0.394504	0.918573	-0.977964	-0.199964	-0.060011
2	224205													9.615610	0.252685	2.014397	0.207208	-0.896957	-0.390554	0.024038	-0.394430	0.918612	-0.978002	-0.199732	-0.060168
3	224371													9.621847	0.265372	2.009206	0.206806	-0.896846	-0.391022	0.024214	-0.394848	0.918427	-0.978082	-0.199405	-0.059941
4	224538													9.621468	0.292602	1.987100	0.206380	-0.896614	-0.391778	0.024584	-0.395520	0.918128	-0.978163	-0.199115	-0.059585
5	224705													9.611507	0.281392	2.009328	0.205880	-0.896469	-0.392374	0.025103	-0.395994	0.917910	-0.978255	-0.198829	-0.059023
6	224871													9.623641	0.300905	1.983245	0.205558	-0.896276	-0.392982	0.025534	-0.396508	0.917676	-0.978312	-0.198670	-0.058619
7	225038													9.607450	0.304209	2.014927	0.205234	-0.896049	-0.393669	0.025954	-0.397107	0.917405	-0.978369	-0.198500	-0.058244
8	225205													9.613891	0.277069	1.982212	0.204989	-0.896114	-0.393648	0.026211	-0.397019	0.917436	-0.978413	-0.198382	-0.057897
9	225371													9.618635	0.256221	2.016776	0.204807	-0.895930	-0.394161	0.026340	-0.397507	0.917221	-0.978448	-0.198235	-0.057813
10	225538													9.611950	0.249124	2.010720	0.204690	-0.895763	-0.394601	0.026326	-0.397953	0.917028	-0.978473	-0.198095	-0.057875
11	225705													9.610019	0.224278	2.018814	0.204590	-0.895717	-0.394757	0.026224	-0.398127	0.916955	-0.978496	-0.197952	-0.057963
12	225871													9.616717	0.263454	2.024690	0.204602	-0.895568	-0.395089	0.026004	-0.398512	0.916794	-0.978500	-0.197852	-0.058248
13	226038													9.620934	0.216890	1.983100	0.204634	-0.895399	-0.395457	0.025737	-0.398944	0.916614	-0.978500	-0.197748	-0.058593
14	226205													9.642804	0.168162	1.954103	0.204718	-0.895261	-0.395725	0.025451	-0.399282	0.916475	-0.978490	-0.197690	-0.058955
15	226371													9.620557	0.302981	1.992679	0.205036	-0.894977	-0.396202	0.025266	-0.399828	0.916242	-0.978428	-0.197873	-0.059367
16	226538													9.645534	0.341427	2.045436	0.205623	-0.894753	-0.396404	0.025257	-0.400073	0.916135	-0.978305	-0.198390	-0.059665
17	226705													9.655412	0.282019	2.084635	0.206074	-0.894573	-0.396576	0.024940	-0.400341	0.916027	-0.978218	-0.198660	-0.060190
18	226871													9.606737	0.213196	2.089182	0.206424	-0.894579	-0.396381	0.024814	-0.400189	0.916096	-0.978148	-0.198940	-0.060410
19	227038													9.599510	0.222613	2.057595	0.206770	-0.894491	-0.396400	0.024889	-0.400215	0.916083	-0.978073	-0.199284	-0.060490
20	227205													9.615808	0.263236	2.056015	0.206976	-0.894323	-0.396669	0.024785	-0.400526	0.915950	-0.978032	-0.199412	-0.060733
21	227371													9.590841	0.257295	2.045907	0.207196	-0.894167	-0.396908	0.024627	-0.400816	0.915828	-0.977989	-0.199531	-0.061027
22	227538													9.578996	0.230978	2.039805	0.207384	-0.894066	-0.397035	0.024477	-0.400990	0.915756	-0.977953	-0.199631	-0.061275
23	227705													9.587231	0.228920	2.047349	0.207534	-0.893941	-0.397240	0.024356	-0.401233	0.915652	-0.977925	-0.199704	-0.061497
24	227871													9.587911	0.235331	2.040000	0.207666	-0.893835	-0.397410	0.024148	-0.401458	0.915559	-0.977902	-0.199727	-0.061784
25	228038													9.590208	0.238864	2.041381	0.207826	-0.893712	-0.397601	0.023951	-0.401705	0.915456	-0.977873	-0.199778	-0.062079
26	228205													9.605292	0.257543	2.045802	0.207991	-0.893649	-0.397658	0.023799	-0.401805	0.915416	-0.977841	-0.199862	-0.062304
27	228371													9.624485	0.275858	2.077330	0.208109	-0.893553	-0.397811	0.023593	-0.402011	0.915331	-0.977821	-0.199875	-0.062580
28	228538													9.610315	0.247921	2.100024	0.208163	-0.893437	-0.398043	0.023365	-0.402299	0.915210	-0.977815	-0.199813	-0.062869
29	228705													9.580849	0.274272	2.067556	0.208164	-0.893360	-0.398215	0.023233	-0.402503	0.915124	-0.977818	-0.199748	-0.063031
30	228871													9.590063	0.227493	2.041968	0.208108	-0.893288	-0.398406	0.023010	-0.402740	0.915025	-0.977835	-0.199591	-0.063259
31	229038													9.588146	0.263990	2.066066	0.208085	-0.893266	-0.398467	0.022830	-0.402838	0.914986	-0.977844	-0.199492	-0.063431
32	229205													9.578711	0.277353	2.053923	0.208131	-0.893290	-0.398390	0.022785	-0.402771	0.915017	-0.977836	-0.199521	-0.063475
33	229371													9.616854	0.286490	2.012811	0.208161	-0.893379	-0.398174	0.022666	-0.402576	0.915106	-0.977832	-0.199514	-0.063551
34	229538													9.619943	0.252026	2.117140	0.208251	-0.893379	-0.398128	0.022489	-0.402571	0.915113	-0.977817	-0.199526	-0.063745
35	229705													9.611743	0.232024	2.131355	0.208353	-0.893373	-0.398088	0.022345	-0.402567	0.915118	-0.977798	-0.199563	-0.063914
36	229871													9.591141	0.205829	2.110527	0.208381	-0.893386	-0.398043	0.022280	-0.402536	0.915133	-0.977794	-0.199565	-0.063977
37	230038													9.597903	0.216226	2.094169	0.208379	-0.893264	-0.398319	0.022335	-0.402807	0.915012	-0.977793	-0.199566	-0.063986
38	230205													9.606586	0.244773	2.097680	0.208280	-0.893161	-0.398601	0.022377	-0.403080	0.914891	-0.977813	-0.199473	-0.063967
39	230371													9.584119	0.250782	2.100830	0.208143	-0.893039	-0.398947	0.022355	-0.403430	0.914737	-0.977843	-0.199314	-0.064007
40	230538													9.591899	0.253313	2.077323	0.208038	-0.892980	-0.399132	0.022303	-0.403623	0.914653	-0.977867	-0.199184	-0.064053
41	230705													9.595025	0.227244	2.089921	0.207957	-0.892843	-0.399482	0.022223	-0.403993	0.914492	-0.977886	-0.199052	-0.064171
42	230871													9.580121	0.267308	2.076154	0.207837	-0.892773	-0.399699	0.022140	-0.404224	0.914392	-0.977913	-0.198894	-0.064247
43	231038													9.603478	0.266908	2.073521	0.207683	-0.892793	-0.399735	0.021939	-0.404291	0.914367	-0.977950	-0.198668	-0.064377
44	231205													9.627811	0.237348	2.078310	0.207485	-0.892952	-0.399483	0.021682	-0.404072	0.914470	-0.977998	-0.198400	-0.064478
45	231371													9.603659	0.203945	2.062371	0.207287	-0.892993	-0.399494	0.021365	-0.404134	0.914450	-0.978047	-0.198088	-0.064693
46	231538													9.584610	0.229554	2.063736	0.207105	-0.893037	-0.399491	0.021132	-0.404165	0.914442	-0.978090	-0.197827	-0.064833
