// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	223871													0.000000	0.000000	0.000000	-0.174644	-0.892376	0.416130	0.006539	0.421565	0.906775	-0.984610	0.161084	-0.067788
1	224038													9.588767	0.072622	-1.694446	-0.174398	-0.892983	0.414929	0.006499	0.420334	0.907346	-0.984654	0.160936	-0.067502
2	224205													9.591938	0.087331	-1.690257	-0.174307	-0.893095	0.414727	0.006646	0.420098	0.907454	-0.984669	0.160932	-0.067291
3	224371													9.588745	0.103052	-1.678228	-0.174220	-0.893533	0.413819	0.007027	0.419107	0.907910	-0.984682	0.161084	-0.066738
4	224538													9.576926	0.120028	-1.691038	-0.174072	-0.893456	0.414047	0.007531	0.419246	0.907841	-0.984704	0.161148	-0.066250
5	224705													9.588867	0.115293	-1.699736	-0.174080	-0.893402	0.414160	0.008106	0.419267	0.907827	-0.984698	0.161392	-0.065744
6	224871													9.609276	0.103538	-1.682845	-0.174177	-0.893391	0.414144	0.008499	0.419194	0.907857	-0.984678	0.161648	-0.065421
7	225038													9.605900	0.089366	-1.689222	-0.174213	-0.893385	0.414142	0.008728	0.419156	0.907872	-0.984669	0.161778	-0.065225
8	225205													9.589997	0.071306	-1.694972	-0.174196	-0.893459	0.413988	0.008803	0.418986	0.907950	-0.984672	0.161805	-0.065120
9	225371													9.607348	0.066210	-1.694968	-0.174218	-0.893545	0.413795	0.008752	0.418799	0.908037	-0.984668	0.161818	-0.065142
10	225538													9.589740	0.035891	-1.703687	-0.174220	-0.893715	0.413425	0.008633	0.418444	0.908202	-0.984669	0.161796	-0.065185
11	225705													9.545481	0.023204	-1.708312	-0.174290	-0.893875	0.413051	0.008354	0.418114	0.908356	-0.984659	0.161768	-0.065406
12	225871													9.558820	0.048103	-1.715343	-0.174496	-0.893930	0.412844	0.008018	0.417973	0.908424	-0.984625	0.161826	-0.065767
13	226038													9.654125	0.150617	-1.730988	-0.174704	-0.893995	0.412616	0.007933	0.417769	0.908519	-0.984589	0.161995	-0.065894
14	226205													9.706939	0.111545	-1.731735	-0.174714	-0.893922	0.412769	0.008068	0.417903	0.908456	-0.984586	0.162050	-0.065801
15	226371													9.671096	0.086096	-1.726491	-0.174503	-0.893973	0.412748	0.008068	0.417867	0.908472	-0.984624	0.161861	-0.065706
16	226538													9.627856	0.126741	-1.686828	-0.174147	-0.894001	0.412838	0.007854	0.417970	0.908427	-0.984688	0.161442	-0.065767
17	226705													9.607820	0.112377	-1.689921	-0.173732	-0.894019	0.412974	0.007668	0.418110	0.908364	-0.984763	0.160978	-0.065784
18	226871													9.576363	0.057991	-1.657446	-0.173332	-0.894010	0.413161	0.007516	0.418298	0.908279	-0.984835	0.160539	-0.065785
19	227038													9.557640	0.027739	-1.649688	-0.173011	-0.894082	0.413140	0.007341	0.418284	0.908287	-0.984893	0.160176	-0.065804
20	227205													9.556455	0.051653	-1.655782	-0.172790	-0.894122	0.413146	0.007121	0.418310	0.908276	-0.984933	0.159883	-0.065913
21	227371													9.556527	0.053454	-1.650588	-0.172666	-0.894200	0.413028	0.006882	0.418221	0.908319	-0.984956	0.159678	-0.066059
22	227538													9.575488	0.049836	-1.661982	-0.172659	-0.894141	0.413159	0.006596	0.418400	0.908239	-0.984960	0.159541	-0.066342
23	227705													9.594347	0.091107	-1.659356	-0.172700	-0.894280	0.412841	0.006315	0.418125	0.908368	-0.984954	0.159482	-0.066563
24	227871													9.622281	0.087033	-1.660782	-0.172708	-0.894316	0.412760	0.006081	0.418081	0.908389	-0.984954	0.159396	-0.066768
25	228038													9.641661	0.089776	-1.655816	-0.172692	-0.894350	0.412693	0.005828	0.418053	0.908404	-0.984959	0.159279	-0.066982
26	228205													9.613370	0.092223	-1.652244	-0.172642	-0.894321	0.412776	0.005565	0.418176	0.908349	-0.984969	0.159117	-0.067218
27	228371													9.558940	0.078005	-1.645080	-0.172662	-0.894335	0.412738	0.005300	0.418182	0.908348	-0.984967	0.159024	-0.067464
28	228538													9.542887	0.056602	-1.653476	-0.172784	-0.894247	0.412879	0.005013	0.418380	0.908258	-0.984947	0.159002	-0.067806
29	228705													9.570266	0.089968	-1.651302	-0.172994	-0.894155	0.412989	0.004757	0.418548	0.908182	-0.984911	0.159074	-0.068153
30	228871													9.584476	0.079392	-1.676411	-0.173240	-0.894064	0.413082	0.004618	0.418682	0.908121	-0.984869	0.159231	-0.068404
31	229038													9.614181	0.062752	-1.677883	-0.173482	-0.893948	0.413231	0.004580	0.418857	0.908041	-0.984826	0.159421	-0.068570
32	229205													9.658384	0.030662	-1.647212	-0.173625	-0.893857	0.413369	0.004528	0.419015	0.907968	-0.984801	0.159518	-0.068704
33	229371													9.649175	0.034736	-1.684969	-0.173669	-0.893836	0.413396	0.004420	0.419064	0.907946	-0.984794	0.159509	-0.068827
34	229538													9.613636	0.032998	-1.659825	-0.173655	-0.893878	0.413311	0.004275	0.419000	0.907976	-0.984797	0.159441	-0.068940
35	229705													9.601097	0.047817	-1.689143	-0.173596	-0.893907	0.413273	0.004173	0.418973	0.907989	-0.984808	0.159348	-0.069001
36	229871													9.586864	0.066525	-1.629423	-0.173542	-0.894101	0.412876	0.004117	0.418575	0.908173	-0.984818	0.159306	-0.068959
37	230038													9.581078	0.068009	-1.650992	-0.173552	-0.894173	0.412715	0.004027	0.418427	0.908242	-0.984817	0.159289	-0.069018
38	230205													9.589686	0.088358	-1.656747	-0.173615	-0.894188	0.412658	0.003868	0.418399	0.908255	-0.984806	0.159283	-0.069181
39	230371													9.583634	0.108555	-1.662980	-0.173763	-0.894204	0.412561	0.003658	0.418345	0.908281	-0.984781	0.159335	-0.069422
